STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/19/2019,0,",,S",82,"H,,S",,,76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/20/2019,0.02,",,S",83,"H,,S",90,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/21/2019,0.17,",,S",82,"H,,S",,,76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/22/2019,0.42,",,S",78,"H,,S",,,75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/23/2019,0.67,",,S",81,"H,,S",84,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/24/2019,0.28,",,S",85,"H,,S",89,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/25/2019,0.02,",,S",83,"H,,S",89,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/26/2019,0.18,",,S",80,"H,,S",84,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/27/2019,0.57,",,S",81,"H,,S",87,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/28/2019,0.08,",,S",83,"H,,S",89,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/29/2019,0,",,S",84,"H,,S",89,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/1/2019,0.28,",,S",81,"H,,S",89,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/2/2019,0.14,",,S",83,"H,,S",90,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/3/2019,0.02,",,S",84,"H,,S",90,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/4/2019,0,",,S",83,"H,,S",,,76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/5/2019,0.23,",,S",80,"H,,S",88,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/6/2019,0.98,",,S",83,"H,,S",87,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/7/2019,0.06,",,S",87,"H,,S",91,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/8/2019,0,",,S",84,"H,,S",92,",,S",,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/9/2019,0,",,S",85,"H,,S",91,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/10/2019,0,",,S",85,"H,,S",91,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/11/2019,0,",,S",81,"H,,S",88,",,S",,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/12/2019,0.48,",,S",79,"H,,S",85,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/13/2019,0,",,S",86,"H,,S",91,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/14/2019,0,",,S",84,"H,,S",91,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/15/2019,0.39,",,S",79,"H,,S",,,75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/16/2019,0.95,",,S",78,"H,,S",85,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/17/2019,0.47,",,S",83,"H,,S",,,76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/18/2019,0.39,",,S",82,"H,,S",89,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,9/19/2019,0.13,",,S",81,"H,,S",,,75,",,S"
